,funding_agency_name,Country
929,Art-Ong Pradatsundarasar,Thailand
935,Wachara Sanguansombat,Thailand
936,ZSM,Germany
938,Early Nutrition eAcademy Southeast Asia,Thailand
939,Erasmus Plus Programme Capacity Building,European Union
941,CU-Collar,Thailand
943,Chula Soft Cadaver Surgical Training Center,Thailand
944,Cognitive Science and Innovation Research Unit,Thailand
945,MSMC,United States
946,ANR-09-BLAN-0238-02-EVAH,France
947,Drug and Health Products Innovation Promotion Center,Thailand
949,Her Royal Highness Princess Maha Chakri Sirindhon,Thailand
950,"Sugar Industries for Sustainable Management, Center of Excellence on Hazardous Substance Management",Thailand
951,Biorefinery Cluster,Thailand
953,Asean University Network/Southeast,Thailand
955,Reservoir Simulation Laboratory of Department of Petroleum Engineering,Thailand
956,Faculty of Dentistry Research Donation Fund,Thailand
957,Faculty of Administration and Management,Thailand
958,Center for Excellence in Clinical Virology,Thailand
959,"Center for the Evaluation of Vaccination, Vaccine & Infectious Disease Institute",Belgium
962,WALCOM 2020,Thailand
963,King Bhumibhol Adulyadej,Thailand
966,Development and Promotion of Science and Technology Talents project,Thailand
970,Rat-chadaphisek-somphot Endowment Fund,Thailand
971,Postgraduate Education and Research Development Office,Thailand
972,Manit Klawtanong,Thailand
973,Center of Excellence for Emerging and Reemerging Infectious Diseases in Animals,Thailand
975,Research Chal-lenge Trust,New Zealand
976,Circles of Knowledge Club,Thailand
978,Genome Institute,Thailand
979,Veterinary Research Fund,Thailand
981,Biomedical Science Institute Industry Alignment Fund,Singapore
984,Oculis research and development team,Switzerland
985,Department of Molecular Tropical Medicine and Genetics,Thailand
986,ICTM,Australia
988,APCC,Thailand
992,Kiat Ruxrungtham,Thailand
993,Southeast Asia-Europe Join Funding Scheme for Research and Innovation,"The Southeast Asia-Europe Joint Funding Scheme for Research and Innovation is a collaborative effort between countries in Southeast Asia and Europe. However, since you are looking for one specific country and the scheme involves multiple countries from two regions, the answer to its specific location in terms of a single country is not applicable. If I have to choose one country where it is significant, I might incorrectly assign it to just one without proper representation of the others.\n\nFor an exact location based in one country, the answer would be 'None'."
994,Research Institute of Marques de Valdecilla Wenceslao-Lopez-Albo,Spain
995,"Center of Excellence for Petroleum, Petrochemicals and Advanced Materials",Thailand
996,"department of Materials Science and Engineering, Faculty of Engineering and Industrial Technology",Thailand
997,"Procter and Gamble, Sasol",United States
998,Center of Excellent for Petrochemical and Advanced Materials,Thailand
1000,Veterinary Clinical Stem Cells and Bioengineering Research Unit,Thailand
1001,PSU NR-IRI,Thailand
1002,PSU NR‐IRI,Thailand
1004,BF Biotech Inc.,Taiwan
1007,Liver Disease Prevention & Treatment Research Foundation,Taiwan
1009,ACCMS,Japan
1012,Ministry of Science’s Scholarship,Thailand
1013,Veterinary Clinical Stem Cell and Bioengineering Research Unit,Thailand
1014,"Labscan Co., Ltd.",Thailand
1015,"Seafresh Chitosan Lab Co., Ltd.",Thailand
1017,Apache Cement Company,Myanmar
1018,Environmental Conservation Forest Department,Thailand
1019,National Institute of Animal Health,Thailand
1020,Centre for Research and Development of Medical Diagnostic Laboratories,Thailand
1021,M Jackson Foundation,United States
1022,Philosophy and Social Sciences Application Research in Higher Education Institutions,China
1023,KRIS,Thailand
1024,Fish Biology and Aquatic Heath Assessment Laboratory,Thailand
1025,SUTDZJU,Singapore
1028,Pong Hospital,Thailand
1029,Greater Pharma,Thailand
1030,Nanostructures and Functional Assembly Laboratory,Thailand
1033,Research Institute of Health Science,Thailand
1034,"Department of Anatomy, Faculty of Medicine",None.
1035,RISC,Thailand
1036,"Program Unit for Human Resources & Institutional Development, Research and Innovation – CU",Thailand
1037,Overseas Research Experience Scholarship for Graduate Student,Thailand
1038,ICMM-CSIS,United States
1040,RSF-DST,India
1042,Industrial Production and Testing Service Center,Thailand
1043,Sustainable Infrastructure Research and Development Center,Thailand
1044,European Union's Horizon 2020,European Union
1047,SRS,United States
1048,Halal Science Center,Thailand
1049,Knowledge and Innovation Research Laboratory,Thailand
1050,Osteoarthritis and Musculo skeleton Research Unit,Thailand
1051,"MG Cordy Gold Co., Ltd.",Thailand
1052,Scientific and Technological Instruments Center,Thailand
1054,Excellent center in Regenerative Dentistry,Thailand
1055,Genomics and Precision Dentistry Research Unit,Thailand
1056,Pacific Rim Green Innovation Hub Project,Thailand
1058,Ratchdaphiseksomphot Endowment fund and Rachadapisek Sompoch Project,Thailand
1059,S S Membranes Co. Ltd.,Thailand.
1060,"S S Membranes Co., Ltd.",Thailand
1061,EE-TFRC,Thailand
1062,Glass Bridge Company Limited,Thailand
1063,THAILAND,Thailand
1065,Faculty of Food Industry,Thailand
1066,Advanced Institute of Manufacturing with High-tech Innovations,Taiwan
1069,RCPT,Thailand
1070,"Joint Research Collaboration between Home Dot Tech Company, Ltd.",Thailand
1075,UICentre for Drug Discovery,United States
1076,Khoon Poom Foundation,Thailand
1077,The Project in Her Royal Highness Princess Ubonratana Rajakanya Siriwatana Bhanawadee,Thailand
1080,Institute of Animal for Scientific Purposes Development,Thailand
1081,Mangrove Forest Conservation Center,Thailand
1082,Mangrove Forest Development Station 7,Thailand
1083,Scientific and Technological Research Equipment Centre,Thailand
1084,Thainam Plastic Company,Thailand
1085,Centre of Excellence on Hazardous Substance Management,Thailand
1087,INHS,United States
1088,UNESCO Japanese Funds-in-Trusts Mubadala Petroleum,United Arab Emirates
1089,Hong Kong Association for the Study of Liver Diseases,Hong Kong
1090,Hong Kong College of Physicians,Hong Kong
1091,National Registry of Diseases Office,Singapore
1093,"Center of Excellence on Agricultural Biotechnology, Science and Technology Postgraduate Education and Research Development Office",Thailand
1095,Innovation Institute,United States
1096,Cell-based Drug and Health Products Development Research Unit,Thailand
1097,Abbott Diagnostics and Beckmann,United States
1098,Orbus Neich and Biotronik,Germany
1099,CUSRI,Thailand
1100,MHPM Co. Ltd.,Thailand
1101,Dirección General de Cómputo y de Tecnologías de Información y Comunicación,Mexico
1102,Posgrado en Ciencias Biológicas,Mexico
1103,Department of Livestock and Development,Thailand
1104,"Program Management Unit for Human Resources & Institutional Development, Research and Innovation - CU",Thailand
1107,CREID,United Kingdom
1109,CAT-REACT,Thailand
1110,EU Horizon 2020 Marie Sklodowska-Curie Research,European Union
1111,Dr Surinda Kawichai,Thailand
1112,DAIDS,United States
1114,Narukjaporn Thammajaruk,Thailand
1115,TU-McMa,Thailand
1116,ERC PUT,European Research Council (ERC) is located in Belgium.
1119,Center of Excellence in Pediatric Infectious Diseases and Vac-cines,Thailand
1120,General Research Fund,Hong Kong
1122,Kanchana Chansung,Thailand
1126,MAE,Italy
1127,Centre of Excellence on Petrochemical and Materials Technology,Thailand
1129,"Program Management Unit for Human Resources and Institutional Development, Research and Innovation—CU",Thailand
1131,"Ministry ofEducation, Culture, Sports",Japan
1132,Research Center of Excellence in Innovation of Essential Oil,Thailand
1133,"Program Management Unit for Human Resources & Institutional Development, Research and Innovation",Thailand
1134,Dairy Herd Health and Food Safety Funds,United States
1135,ACEA Pharma,Thailand
1136,Alpha Biopharma Co. Ltd.,China
1137,Amoy Diagnostics Co. Ltd.,China
1138,Aurora Tele-Oncology Ltd.,Thailand
1139,Hengrui Therapeutics Inc.,United States
1140,Hutchison Chi-Med,United Kingdom
1141,SFJ Pharmaceuticals,United States
1142,Shanghai BeBirds Translation & Consulting Co. Ltd.,China
1144,"Chalong Latex Industry Co., Ltd.",Thailand
1145,Interdisciplinary Graduate School of Energy Systems,Thailand
1146,Panel Plus Co. Ltd.,Thailand
1147,AMON,United States
1148,HAWC,United States
1149,IceCube,United States
1150,Institute for Gravitation,United States
1151,"Robolingo Co., Ltd.",Thailand
1152,Technology and Innovation-Based Enterprise Development Fund,Thailand
1153,Ministry of Science and Technology Funding information,China
1155,TESA,Thailand
1156,Department of Educational Technology and Communications,Thailand
1157,Educational Invention and Innovation Research Unit,Thailand
1158,Silicon Craft Technology Co. Ltd,Thailand
1159,Program Management Unit for Human Resources and Institutional Development Research and Innovation-CU,Thailand
1160,NRF-NEP,South Korea
1162,Natural Products for Neuroprotection and Anti-ageing Research Unit,Thailand
1163,Binatang Research Centre,Papua New Guinea
1165,Nanocatalysis and Molecular Simulation Research Group,Thailand
1168,Cooperative Research Project of the Research Center for Biomedical Engineering,Japan
1170,Global Probiotic Council,Japan
1171,"National Science, Research and Innovation Fund",Thailand
1172,"Trade, Development and the Environment Hub project",United Kingdom
1173,ASEAN Countries,Southeast Asia
1174,Ministry of Pu?lic Health,Thailand
1175,National Institutes for the Humanities,Japan
1176,"Graduate School, State Key Laboratory of Estuarine and Coastal Research",China
1177,Her Royal Highness Maha Chakri Sirindhorn,Thailand
1178,Faculty of Engineering Research Fund,Thailand
1179,Kinji Ohno and Akio Masuda,Japan
1180,BioMedica Nutraceuticals,Australia
1182,Centre for Social and Sustainable Innovation,Canada
1184,Centus Biotherapeutics,United Kingdom
1187,Faculty of Technology and Envi-ronment,Thailand
1188,Program Management Unit for Human Resources and Institutional Development Research and Innovation—CU,Thailand
1189,H2020 Drynet,European Union
1190,EU-Horizon 2020,European Union
1191,Environmental Radioactivity Research Network Center,Thailand
1192,Faculty of Liberal Arts and Science,Thailand
1193,Unit of Excellence of research and development,Thailand
1195,EU's Horizon 2020 research and innovation programme,European Union
1196,Program Management Unit for Human Resources & Institutional Development Research and Innovation-CU,Thailand
1198,TPBI,Thailand
1199,Development and Promotion of Science and Technology Talent Project,Thailand
1200,National Security and Dual-Use Technology Center,The National Security and Dual-Use Technology Center is likely located in Taiwan.
1201,Agro-Industrial Scholarship for International Students,Thailand
1202,Functional Ingredients and Food Innovation Research Group,Thailand
1203,Royal Initiative of Her Royal Highness,Thailand
1204,Center of Excellence for Clinical Virology,Thailand
1206,"Cosmos Technical Center Co., Ltd.",Thailand
1208,Kamolrat Metavarayuth,Thailand
1210,UNICORN,Thailand
1211,"Cosmeceutical Research, Development and Testing Centre",Thailand
1215,Medical Correctional Institution,United States
1216,Center of Excellence on Catalysis and Catalytic Reaction Engineering,Thailand
1217,"program Management Unit for Human Resources & Institutional Development, Research and Innovation",Thailand
1219,McKinsey & Company and Angiocrine Bioscience,United States
1221,Labtech Engineering Co. Ltd.,Thailand
1222,Hope BabetteTang,United States
1223,Postharvest Technology Innovation Center,Thailand
1224,TINT,Thailand
1225,European Commission's Horison's 2020 Framework Programme Cure,European Union
1227,Bara Scientific Co. Ltd.,Thailand
1228,Department of Health Service Support,Thailand
1229,Joint Graduate School of Energy and Environment for the Postdoctoral Research Fund,Thailand
1230,SCMU-ACUC,United States
1231,SUT Research and Development Fund,Thailand
1232,Division of Clinical Pharmacology,Thailand
1233,"Sugar Industries for Sustainable Management, Center of Excellence on Hazardous",Thailand
1234,Susan Lindquist Laboratory,United States
1237,European Union’s Eurostar,European Union
1239,Lopburi and Phetchaburi Province,Thailand
1241,Graduate School of Business and Advanced Technology Management,Thailand
1246,Police General Hospital,Thailand
1247,MDPB,Thailand
1248,Center of Excellence in Logistics and Supply Chain Systems Engineering and Technology,Thailand
1249,MU-Talents on Research,Thailand
1251,Small Animal Hospital,Thailand
1253,Research Program of Industrial Waste Management,Thailand
1257,Medical Material Research Laboratory,Thailand
1259,Saving Animals and Human Lives,Thailand
1260,Faculty of Technology and Environment,Thailand
1262,International NeuroHIV Cure Consortium,United States
1265,Electrical Engineering/Electronics,Thailand
1266,NUT,Thailand
1267,"Home Dot Tech Co., Ltd.",Thailand
1268,Dennis and Doreen Erker Fund,Canada
1269,Jongkolneenithi foundation,Thailand
1270,Catalysis for Bioenergy and Renewable Chemicals,United States
1273,LiberDi,Israel
1274,China?ASEAN Maritime Collaboration Fund,China
1275,Eastern Pacific Environment Moni-toring and Protection Project,United States
1276,Department of National Park,Thailand
1277,Dr Max Kasparek,Germany
1282,Benja Rewthongchum,Thailand
1283,Benjamas Garden,Thailand
1285,BCRU,Thailand
1286,"Program Management Unit for Human Resources & Institutional Development, Research, and Innovation - CU",Thailand
1287,"Surin Bran Oil Co., Ltd.",Thailand
1288,Faculty of Allied Health Sciences research fund,Thailand
1289,National Science and Technology Agency,Thailand
1290,ANR-16-CE92-0018,France
1291,HIV Netherlands Australia Thailand,Thailand
1293,Toulouse Biotechnology Institute in Toulouse,France
1294,"Department of Pharmacognosy and Pharmaceutical Botany, Faculty of Pharmaceutical Sciences",Thailand
1296,"Care Co., Ltd.",Thailand
1298,Advisor at Cour Pharma,United States
1303,World Allergy Organization,United States
1304,Kalimantan Timur Cemerlang,Indonesia
1305,F2G,United Kingdom
1306,"Kanchanabhishek Institute of Medical and Public Health Technology, Faculty of Public Health and Allied Health Sciences",Thailand
1308,Program Management Unit on Competitiveness,Thailand
1310,Institute of Environmental Engineering and Management,Thailand
1311,Ratchadapisek Sompoch,Thailand
1312,Office of the Higher Education Policy Science Research and Innovation National Council,Thailand
1313,"Nabsolute Co., Ltd.",Thailand
1314,DVM of Prosper Pet and Vet Animal Clinic,Thailand
1316,Research Affairs of the Faculty of Pharmaceutical Sciences,Thailand
1317,CGIAR,France
1318,CU-STAR Swine Virus Evolution and Vaccine Research,Thailand
1320,Biotronik Thailand,Germany
1321,Ansun Biopharma,Thailand
1323,Science and Technology Incubator Youth Program,Thailand
1324,ODIS,None.
1325,Office of Higher Education,Thailand
1328,SMLR,United States
1329,Institute of Urban Disease Control and Prevention,Thailand
1331,Regional Research Collaboration Project,Thailand
1332,International Emerging Actions,France
1333,Research and Researchers for Industries,Thailand
1334,EASL Consortium for Regenerative Hepatology,"The EASL Consortium for Regenerative Hepatology is associated with the European Association for the Study of the Liver (EASL), which is based in Switzerland."
1336,CCOP,Thailand
1341,Piyatida Pimvichai,Thailand
1342,Algal Culture Laboratory,Thailand
1343,Gilead’s HIV Cure Advisory Board,United States
1346,MUPY,Thailand
1347,Natural Product Biotechnology Research Unit,Thailand
1348,"Program Management Unit for Human Resources and Institutional Development, Research and Innovation",Thailand
1351,Ruchanok Tinikul,Thailand
1352,"Department of Microbiology, Faculty of Medicine, and Medical Microbiology",Thailand
1353,Institute of Dermatology,Thailand
1354,Human Resources Development Fund,Saudi Arabia
1355,In-depth Strategic Research Fund,Thailand
1357,"Pathum Thani, Thailand",Thailand
1359,F.W.O.,Belgium
1360,National Nanotech-nology Center,Thailand
1361,All Vista Healthcare National Health Insurance Administration,Taiwan
1362,MOST Joint Research Center for AI technology,Taiwan
1364,H2020-MSCA-RISE,European Union
1365,"Drug and Cosmetic Excellence Center, School of Pharmacy",Thailand
1366,AWAK technology,Singapore
1369,MBBS,Thailand
1370,ARCCRU,Thailand
1371,National Park Departments,Thailand
1372,Center of Excellence for Petrochemical and Materials Technology,Thailand
1376,University of Potential of Excellence,India
1377,Asia Pacific Network,Thailand
1380,SEACLID,Thailand
1382,Geriatric and Special Patients Care clinic,Thailand
1383,Faculty of Medical Technology,Thailand
1384,Central Laboratory,Thailand
1385,Veterinary Stem Cell and Bioengineering Research Unit,Thailand
1387,NIMT,Thailand
1388,Data Safety Monitoring Committee,United States
1389,Data Safety and Monitoring Board,United States
1392,"Department of Chemical Science and Engineering , School of Materials and Chemical Technology",Japan
1393,"Department of Chemical Science and Engineering, School of Materials and Chemical Technology",Japan
1400,Research and Development Institut,Thailand
1401,Center for Translational Chronobiology,United States
1402,New Kwang Soon Lee Co. Ltd.,Thailand
1403,"New Kwang Soon Lee Co., Ltd.",Thailand
1404,"Office of Research, Development and Information",Thailand
1405,"Union Link Co., Ltd",Thailand
1406,"Thailand-China cooperation project in science, technology",China
1407,Disaster-research Unit-DU,Germany
1408,Indian Ocean Tsunami Warning System,Indonesia
1409,Risk and Disaster Management Programme,Thailand
1411,Scientific and Technological Equipment Centre,Thailand
1412,Drug Resistant Tuberculosis Research Fund,Thailand
1413,Frontier Research Potential Enhancement Fund,Thailand
1414,"Program Management Unit for Human Resources & Institutional Development, Research and Innovation – CU",Thailand
1415,"Program Management Unit for Human Resources & Institutional Development, Research and Innovation– CU",Thailand
1416,Development and Promotion of Science Technology Talents,Thailand
1418,Ci?ncia e Tecnologia,Brazil
1421,Forest Department,Thailand
1423,NRU,Russia
1424,Microbiome Research Unit for Probiotics in Food and Cosmetics,Thailand
1425,Area-based Health Security Fund,Thailand
1426,Local Health Security Fund,Thailand
1427,"Department of Veterinary Science, Faculty of Agriculture",Thailand
1428,CytomX,United States
1430,Shire Baxalta,United States
1432,OVERSEAS RESEARCH EXPERIENCE SCHOLARSHIP,Australia
1433,Baxter Corp,United States
1434,Southern Region of Asean Countries,Thailand
1436,Fisher Center Discovery Program,United States
1437,Center for Incubation Innovation Research and Consultancy,Thailand
1439,Australasian Society for Bipolar and Depressive Disorders and Servier,Australia
1440,WEDC,United Kingdom
1444,Behavior Research and Informatics in Social Science,United States
1446,Eclipse Medical,United States
1448,ACROP Committee of ESTRO,Belgium
1450,Cochrane ENT,United Kingdom
1452,Food and Nutrition Program,United States
1454,Animal Virome and Diagnostic Development Research Group,Thailand
1455,European Research Development Fund,European Union
1457,Development of Higher Education Institutions Research and Innovation Creation,Thailand
1458,National Taipei University of Technology-Thammasat University Joint Research Program,Taiwan
1460,William Chalmers,Sweden
1462,Federal Radio Corporation,United States
1463,Center of Excellence on Environmental Health and Toxicology,Thailand
1464,Institute for the Study of Natural Resources and Environmental Management,Thailand
1466,Amnat Fongchai,Thailand
1467,Bunruam Khunin,Thailand
1470,Natural Products and Nanoparticles Research Unit,Thailand
1471,CENTRA,Portugal
1472,Forest Industry Organization,Thailand
1473,Mass Separation Laboratory,Thailand
1474,"Thai Nippon Chemical Industry Co., Ltd.",Thailand
1476,EU/IMI,European Union
1477,Meissa vaccines and Virometrix,Italy
1478,Laboratory of Genome Science and Technology,United States
1479,Built Environment Analytics,United Kingdom
1480,MU-IACUC,Thailand
1481,Program Management Unit-Competitiveness,Thailand
1485,Program Management Unit Competitiveness,Thailand
1486,The Scholarship Program for Neighboring Countries,Thailand
1487,Innovation Hub of Ageing Society,Thailand
1489,Foundation for Diabetes Care Development,Thailand
1490,IIPF,Germany
1491,IDDI,Belgium
1493,Social Research Institute,Thailand
1494,RJS Mediagnostix,Thailand
1495,"National Center of Excellence for Petroleum, Petrochemicals, and Advanced Materials",Thailand
1496,Petrochemical and Materials Technology,Thailand
1497,Asian Pacific Society of Cardiology,Thailand
1499,Supawadee Ingsriswang,Thailand
1502,PERDO-CHE,Thailand
1503,Ministry of Ministry of Science and Technology,China
1504,Information Centre for Health and Social Care,United Kingdom
1507,Medica Innova,Thailand
1508,CUMNH,United States
1511,Wachara Sanguansombat and Yutthapong Rassamee,Thailand
1514,Healthcare-associated Infection Research Group STAR,Thailand
1516,Capsule Products Co. Ltd,Thailand
1517,"Capsule Products Co., Ltd.",Thailand
1519,"Department of Veterinary Microbiology, Faculty of Veterinary Science",Thailand
1521,Advanced Institute of Manufacturing with High-Tech Innovations,Taiwan
1522,"AICA Co., Ltd.",Thailand
1524,Faculty of Commerce and Accountancy,Thailand
1525,"K.K. the Program Management Unit for Human Resources & Institutional Development, Research and Innovation",Thailand
1526,SITES,Sweden
1528,Bhumibol Adulyadej Hospital,Thailand
1529,Nakhon Sawan,Thailand
1530,ERA‐NET Horizon 2020 program JPCOFUND2,European Union
1532,PDUK,United Kingdom
1533,USWorldMeds,United States
1534,RITAD,Thailand
1536,Southern Institute of Water Resources Research,Vietnam
1537,BioSentinel Laboratory,United States
1538,CU Academic Network in the Region,Thailand
1539,Paediatric European Network for Treatment of AIDS,United Kingdom
1540,Chintana Chirathaworn,Thailand
1542,Radiological Sciences and Pathology,United States
1543,Government Budget Fund,Thailand
1544,Second Century Fund Project,Thailand
1546,Program for HUST Academic Frontier Youth Team,China
1547,Bioresources and Technology,Thailand
1548,PMDSU,Indonesia
1551,Aranya Fuangswasdi,Thailand
1553,KhueangNai Hospital,Thailand
1555,Lertloy Metal Sheet Company,Thailand
1556,Research Institute for Health Sciences,Thailand
1557,Cell-Based Drug and Health Products Development Research Unit,Thailand
1559,"Ministry of Higher Education, Research",France
1560,ENTEC,Thailand
1562,CHE‐TRF Senior Research Fund,Thailand
1563,APASL,Japan
1564,Coordinación General Académica e Innovación,Mexico
1567,Peta Pet Clinic,Thailand
1568,Poonnakan Veterinary Care Clinic,Thailand
1569,Veterinary Teaching Hospital,Thailand
1571,Center of Excellence on Translational Research in Inflammation and Immunology,Thailand
1572,Family Planning Unit,Thailand
1573,Asia Pacific Potash Corporation Limited,Thailand
1574,GSRI,United States
1575,Sarapol Thongphan Division of Endocrinology and Metabolism,Thailand
1576,International Graduate Program of Veterinary Science and Technology,Thailand
1577,RedKnight Consultancy Ltd,United Kingdom
1578,VST,Thailand
1579,Roongroj Thanawongnuwech,Thailand
1580,TRF Research Team Promotion,Thailand
1582,"AMERI-ASIA MED CO, Ltd.",Thailand
1583,Islamic University,Bangladesh
1584,CIF-CNI,Thailand
1585,Audra Bowlus,None.
1586,"Program Unit for Human Resources & Institutional Development, Research and Innovation",Thailand
1587,Coastal Fisheries Research and Development Center,Thailand
1588,Asian Cooperation Fund Project-Study on Typical Bay Ecological Protection and Management Demonstration,China
1589,Fund Project for Marine and Fishery Protection and Development in Fujian Province,China
1590,Cooperation Research Programs of Wildlife Research Center,Japan
1591,TGRI,Thailand
1592,School of Applied Statistics,Thailand
1593,Xiamen Health System Discipline Leaders and their Backup Candidates,China
1594,IBRO-APRC,Thailand
1597,Frontier Research Center,Japan
1599,Advance Wireless Network Company Limited,Thailand
1602,Fourth Batch of Ningxia Youth Talents Supporting Program,China
1603,Academy for Healthcare Learning,United States
1604,CuraSen,United States
1605,Curasen Therapeutics,United States
1606,PhotoPharmics,United States
1607,Safra Foundation,Switzerland
1608,Wave Life Sciences,United States
1609,Vijitra Jan-uthai,Thailand
1610,"Fakwantip Co., Ltd.",Thailand
1612,Medical Industry and Agricultural and Food Industry,Thailand
1613,Andrew Nickson and Win Kulvichit,Thailand
1614,Fresenius Medical and Biomerieux,"Germany, France"
1615,Sangsom School,Thailand
1617,Queen Elizabeth Hospital,Barbados
1618,Tan Tock Seng Hospital,Singapore
1619,VHS‐Infectious Diseases Medical Centre,Germany
1620,Auspicious Occasion of Her Royal Highness Princess Maha Chakri Sirindorn,Thailand
1621,Auspicious Occasion of Her Royal Highness Princess Maha Chakri Sirindorn's 5th Cycle,Thailand
1622,Adfontes Biotechnology Ltd.,United Kingdom
1623,"Majorbio Bio-Pharm Technology Co., Ltd.",China
1626,Center of Excellence in Fish Infectious Diseases,Thailand
1627,Faculty of Marine Technology,THAILAND
1628,PRIN,Italy
1630,UE/FEDER,Spain
1631,Fresenius Medical and Baxter,Germany
1632,RTSD,Thailand
1633,"Laboratory of Forest Products Chemistry and Renewable Energy, Faculty of Forestry",Thailand
1634,Malaysia Thailand Joint Authority Research Cess Fund,Malaysia
1635,BIOPHICS,Thailand
1636,BEI Resources,United States
1637,"Fisheries Science, Faculty of Agricultural Technology and Agro-Industry",Thailand
1638,Tokara Nakanoshima Island,Japan
1639,Eurostar of the European Union,European Union
1640,Pitt Supaphol,Thailand
1641,Surapong Narenpitak,Thailand
1643,Thanee Eiamsitrakoon,Thailand
1644,Uraiwan Parinyasiri,Thailand
1645,Yuttitham Suteeka,Thailand
1646,SIMATS,India
1647,Pediatric Nutrition Research Unit,United States
1648,"National Science, Research and Innovation",Thailand
1649,Drug Safety Monitoring Board,United States
1650,"Center of Excellence on Petrochemical and Materials Technology, Metallurgy and Materials Science Research Institute",Thailand
1652,One Health Research cluster,Thailand
1653,Erasmus Funding EU,European Union
1654,Petroleum and Petrochemical College and Center of Excellence on Petrochemical and Materials Technology,Thailand
1656,Second Century Found,United States
1658,CECC-HCU,Thailand
1659,Asia-Pacific Ocular Imaging Society,Thailand
1660,Asia-Pacific Vitreo-retina Society,Thailand
1662,European Association for Vision and Eye Research,Netherlands
1663,Glaucoma Research Society,United States
1665,Southeast Asia-Europe Joint Funding Scheme for Research and Innovation,European Union
1666,TRCARC,Thailand
1670,Moonlight Therapeutics,United States
1671,"Nutricia, Nestl?",Switzerland
1676,Edward & Yolanda Wong Fund,United States
1678,Faculty of Medicine Foundation,Thailand
1679,Fatty Liver Research Fund,Thailand
1680,Center of Nanoimaging,Thailand
1683,Faculty of Science at Sriracha,Thailand
1685,CaNVAS,United States
1686,SIBS Gen Gen,China
1688,Administration and Capital Management Unit for Enhancing the Competitiveness of The Country,Thailand
1691,Clinical Research Plan of SHDC,China
1692,Water Environment Laboratory,None 
1693,CUni-verse research promotion project,Thailand
1694,Biophil Technology Company Limited,Thailand
1695,Center of Excellence for Molecular Crop,Thailand
1697,MCIN,Canada
1699,WELL,Thailand
1702,International Center for the Scientific Development of Shrimp Aquaculture,Thailand
1704,Materials Technology Center,United States
1709,Virology Unit,Thailand
1710,Equal Asia Foundation,Thailand
1711,TFCT,Thailand
1712,Plant Medicinal Garden,Thailand
1713,PMU-B,Saudi Arabia
1714,Department of Geomatics,Thailand
1715,Inter University Institute For High Energies,Belgium
1716,West Lafayette,United States
1717,Feed Research and Innovation Center,Thailand
1718,Institute for Animals for Scientific Purpose Development,Thailand
1719,Excellent Center for Gait and Motion,Thailand
1720,Council of University,Thailand
1721,Khoksung Sub-District Health Promoting Hospital,Thailand
1722,Si Mum Sub-District Health Promoting Hospital,Thailand
1723,Si Salaloeng Sub-District Health Promoting Hospital,Thailand
1724,Yang Yai Sub-District Health Promoting Hospital,Thailand
1727,"Center of Excellence on Agricultural Biotechnology, Education Commission",Thailand
1729,Center of Excellence in Osteoarthritis and Musculoskeleton,Thailand
1730,Second century Fund,United States
1731,Fine and Applied Arts Multidisciplinary Art Innovation Center at the Faculty of Fine,Thailand
1732,Center of Excellence for Regenerative Dentistry,Thailand
1740,Quintiles,United States
1742,Seed and Innovation Fund,Thailand
1743,"National Science, Research, and Innovation Fund",Thailand
1744,DDPM,Thailand
1745,"Ministry of Education, Culture, Sports Science",Japan
1747,Robert Douglas John Butcher for the English Language,United Kingdom
1748,International Corporate Governance Society,United States
1749,Faculty of Agriculture Natural Resources and Environment,Thailand
1750,Government Health Systems Research Institute,Thailand
1752,National Training Program of Innovation and Entrepreneurship for Undergraduates,China
1753,"AMERI-ASIA MED Co., Ltd.",Thailand
1754,Atapol Sughondhabirom,Thailand
1755,Center of Excellence for Companion Animal Cancer,Thailand
1756,NRF-NERC-SEAP-2020,Thailand
1761,"Ministry of Public Health, Ministry of Interior",Thailand
1762,ESPOWER Co. Ltd.,Thailand.
1763,IHRI,Thailand
1765,"Division of Gastroenterology, Faculty of Medicine Foundation",Thailand
1766,Marine Shrimp Broodstock Research Center II,Thailand
1767,International Genetically Engineering Machine,United States
1768,School of Chemical and Biomedical Engineering,Thailand
1769,Program Management Unit for Competitiveness,Thailand
1772,Nanoscience and Technology Interdisciplinary Program,Thailand
1773,"POLAWAT ENGINE Co.,Ltd.",Thailand
1774,"VERASUWAN CO.,LTD",Thailand
1775,Science Achievement Scholarship,Thailand
1777,RGJ-ASEAN,Thailand
1781,National University,Thailand
1782,"University of Science, University of Science",Thailand
1783,Penerimaan Negara Bukan Pajak,Indonesia
1784,Chulalongkorn University of Korea Foundation for Advanced Studies,Thailand
1787,Office of the Forest Herbarium,Thailand
1788,CBIT,India
1789,CATRC,Thailand
1790,Reinventing University Project,Thailand
1791,Center of Excellence for Pediatric Infectious Diseases,Thailand
1793,HIV Services for Key Populations Cooperative Agreement,United States
1795,Wachiraporn Chartcornburi and Sirirat Sirisurachatchawan,Thailand
1796,Youth Network Disaster Resilience,Thailand
1797,Bureau of Biotechnology in Livestock Production,Thailand
1799,American Journal of Transplantation,United States
1800,Corticobasal Degeneration Solutions,United States
1801,Southeast Asia‐Europe Joint Funding Scheme for Research and Innovation,European Union
1802,Mae Moh subdistrict,Thailand
1803,Green Materials for Industrial Application Research Unit,Thailand
1804,FAIR-SPACE,United Kingdom
