,funding_agency_name,Country
4741,TRF Senior Research Schola,Thailand
4742,National Blood Centre,Thailand
4743,IIAC,South Korea
4744,Swine Viral Evolution and Vaccine Research,United States
4745,Foundation for the Fusion of Science and Technology,Thailand
4746,"Energy and Environmental Engineering Center, Faculty of Engineering",Thailand
4747,ASEAN University Net-work,Thailand
4748,Center of Excellence in Earthquake Engineering and Vibration,Thailand
4749,Southeast Asia Engineering Education Development Network,Thailand
4750,"Section of Adult and Pediatric Endocrinology, Diabetes, and Metabolism",United States
4751,Smart Wireless Communication Ecosystem Research Group,Thailand
4752,Building of Consortia for the Development of Human Resources in Science and Technology,Thailand
4753,Government Budget/Medical Research Network,United States
4754,Center of Excellence of Environmental and Hazardous Waste Management,Thailand
4755,Smooth International Co. Ltd.,Thailand
4756,Faculty of Animal Science and Agricultural Technology,Thailand
4757,Thailand,Thailand
4758,EMS Energy Institutes,United States
4759,Center of Excellence for Molecular Biology and Genomics of Shrimp,Thailand
4760,Western,Canada
4761,Kenji Hirayama,Japan
4762,NEKKEN,Japan
4763,Expert Group on Higher Education for Sustainable Agriculture,Thailand
4764,Drum-mond Fund,United Kingdom
4765,Franco-Thai Cooperation Program in Higher Education and Research ‘PHE,France
4766,RCAT,Thailand
4767,Nanotechnology center,Thailand
4768,RIHS,Netherlands
4770,Shanghai Suburb Tertiary Hospital Clinical Capacity Building Project,China
4771,Clinica Veterinaria Roma Sud,Italy
4772,Her Royal Highness Princess Maha Chakri Sirindhorn,Thailand
4773,Plant Genetics Conservation Project,Thailand
4774,Jaflan Society for the Promotion of Science,Japan
4775,King,Thailand
4776,Uthenthawai Campus,Thailand
4777,Government Pharmaceutical Organization,Thailand
4778,Integrated Innovation Academic Center,Thailand
4779,His Majesty King Bhumibol Adulyadej,Thailand
4780,Language Institute,Thailand
4781,NRR,Thailand
4782,ONCB,Thailand
4783,ERDF‐FEDER,Spain
4784,General Branch Evaluation and Promotion of Research,Thailand
4785,Development and Promotion of Science and Technology,Thailand
4786,Center of Excellent on Environmental,Thailand
4787,Prasert Prasarttong—Osoth Research Foundation,Thailand
4788,Fonds pour la,France
4789,l’Industrie et dans l’Agriculture,France
4790,Minister of Energy,Thailand
4791,Petroleum and Petrochemicals Research Unit,Thailand
4792,Asia Research Center Fund,Thailand
4793,Center of Excellence for Petroleum Petrochemicals and Advanced Materials,Thailand
4794,S T Postgraduate Education and Research Development Office,Thailand
4795,Research University Network,Thailand
4796,Companion Animal Cancer Research Unit,Thailand
4797,V&P Expanded Metal Co. Ltd.,Thailand
4798,Research Center of Pharmaceutical Nanotechnology,Iran
4800,TGGS,Thailand
4801,TRF Research Career Development,Thailand
4802,Center of Excellent on Petrochemical and Materials Technology,Thailand
4803,Graduate School and Faculty of Allied Health Sciences,Thailand
4804,Actinobacterial Research Unit,Thailand
4805,Pacific Rim Country Hub,Thailand
4806,Coax Group Corporation Co.,Thailand
4807,Tha Song Yang District,Thailand
4808,Center of Excellence in Hepatitis and Liver Cancer,Thailand
4809,of Agriculture,Thailand
4810,DMSc,Thailand
4811,Ratchadapi-sak Sompoch Fund,Thailand
4812,CU Scholarship,Thailand
4813,ASEAN University Network/Southeast,Thailand
4814,Western Gulf Center of Excellence for Vector-borne Diseases,United States
4815,International School of Engineering,Thailand
4816,"Biomaterial Research Laboratory, Faculty of Dentistry",Thailand
4817,Neuroscience Research and Development Group,Thailand
4818,Center of Excellence on Hazardous Substance Management,Thailand
4819,ASEAN European Academic University Network,Thailand
4820,Grant for International Research Integration,Thailand
4821,TB national research University,Russia
4822,"Faculty of Science, Energy and Environment",Thailand
4823,"National Research, Development and Innova",Spain
4825,Auspicious Occasion of Her Royal Highness Princess Maha Chakri Sirindhorn’s 5th Cycle,Thailand
4826,Creative Commons Attribution License,United States
4827,Patronage of Her Royal Highness Princess Soamsawali,Thailand
4828,Development of New Faculty Staff Fund,Thailand
4829,National Research University Program,Thailand
4830,KU Biodiesel Project,Thailand
4831,Ukraine-China R&D joint project,Ukraine
4832,Center for Advanced Studies in Tropical Natural Resources,Thailand
4833,KAVI,Kenya
4834,Weerawat Manosuthi,Thailand
4836,Center for Tropical Medicine and Infectious Disease Research,Thailand
4837,SHyNE,United States
4838,Soft and Hybrid Nanotechnology Experimental,Thailand
4839,Pharm-Allergan,United States
4840,Grand Siam Composites Co. Ltd.,Thailand
4841,European Research Council and Horizon 2020,United States
4842,New National Excellence Program ?,Hungary
4843,PUT,Thailand
4844,"Faculty of Science, CU",Thailand
4845,LECMA,France
4846,iCODE Institute,United States
4847,TRF-Natural,Thailand
4848,Strategic Insight Research,United States
4849,Rachadapisaek Sompote Fund,Thailand
4850,Koh Sichang,Thailand
4851,Koh Sichang Subdistrict Municipality,Thailand
4852,Ratchapiseksompot Endowment Fund,Thailand
4853,3College of Sports Science and Technology,Thailand
4854,Mylan EPD,Ireland
4855,Allied Health Sciences Fund,Thailand
4856,VIVA-KKH,Thailand
4857,Liaoning Peng-Style Eye Acupuncture Academic Thought Transmission Project,China
4858,Vice-Chancellor in Research Affairs of Isfahan University of Medical Sciences,Iran
4859,Coax Group Corporation Co. LTD,Thailand
4860,"Department of Veterinary Public Health, Faculty of Veterinary Science",Thailand
4861,FDF,Germany
4862,receipt of faculty development fund,Thailand
4863,MSU Zoological Museum,United States
4865,Rachadaphiseksompot Endorcement Fund,Thailand
4866,Ashfield Company,United States
4867,UDG Healthcare plc,Ireland
4868,Aman Family Fund for Colorectal Cancer Research and Education,United States
4869,International College Mahidol University,Thailand
4870,Center of Excellence in Materials and Bio-interfaces,Thailand
4871,"Center of Excellence on Petrochemical and Materials Technology, CU",Thailand
4872,MSTP,United States
4873,Wetenschap en Technologie,Netherlands
4874,Medical Science Research Equipment Center,Thailand
4875,S & T Postgraduate Education and Research Development Office,Thailand
4876,National Doctoral Programme in Informational and Structural Biology,Finland
4877,Apex Nanotek Co. Ltd.,Thailand
4878,Research Ethics Board of Health,Canada
4879,Smart Materials Research Laboratory,Thailand
4880,Aid for Scientific Research,Japan
4881,Shell Professorial Chair,United Kingdom
4882,Department of Education and Learning,United States
4883,Council of Science and Indus,India
4884,UASLPFAI,Mexico
4885,Four Seasons Hotel Care for Cancer Fun Run,Thailand
4886,2Food Biotechnology Research Team,Thailand
4887,"4Department of Food and Pharmaceutical Chemistry, Faculty of Pharmaceutical Sciences",Thailand
4888,Ambrx Inc.,United States
4889,CCFA career development award,United States
4890,Nutrition Science Partners,United States
4891,Theravance Biopharma R&D,United States
4892,TiGenix,Belgium
4893,Rad-chadapisek Sompoch Endowment Fund,Thailand
4894,Centre for Advanced Materials and Environmental Research,Thailand
4895,Coordination for The Improvement of Higher Level of Education,Brazil
4896,MOST 108-3116-F-006-007-CC1,Taiwan
4897,"Research, Development and Engineering Fund",Thailand
4898,"S&T Postgraduate Education, Research Development Office",Thailand
4899,ICTV,United States
4900,AF Goodrich Chemical Co.,United States
4901,M.C. holds shares Alnylam,United States
4902,Tetherex,United States
4903,Pediatric Nutrition STAR,United States
4904,Faculty of Environmental Management,Thailand
4905,Queen Elizabeth II Diamond Jubilee Scholarship,Canada
4907,Overseas Presentations of Graduate Level Academic Thesis of CU,Thailand
4908,Kao Melanin Workshop,Thailand
4909,Hotung Foundation,Hong Kong
4910,Auspicious Occasion of Her Royal Highness Princess Maha Chakri Sirindhornʼs 5th Cycle,Thailand
4911,México,Mexico
4913,Research Cess Fund,Thailand
4914,Rajamangala University of Technology Tawan-Ok Uthenthawai Campus,Thailand
4915,l'Industrie et dans l'Agriculture,France
4916,Health and Wellbeing Survey,Thailand
4917,S&T Postgraduate Education,United States
4918,Comprehensive International Program of Research on AIDS Network,United States
4919,BRCES,Brazil
4920,KSU Research Chairs,Saudi Arabia
4921,"Research, Development and Testing Center",Thailand
4922,Development and Promotion of Science and Technology Project,Thailand
4923,Ministry of Educa,Thailand
4924,Youth and Sports,Thailand
4925,New Faculty Staff fund and Ratchadapiseksomphot Endowment Fund 2017,Thailand
4926,Task Force for Activating Research,Thailand
4927,Laem Son National Parks,Thailand
4928,Areewan Cheawchanwattana,Thailand
4929,Serdang Hospital,Malaysia
4930,Suchai Sritippayawan,Thailand
4931,TSRI Research Team Promotion,Thailand
4932,TSRI Research Team Promotion Grant,Thailand
4933,Center for Medical Diagnostic Laboratories,Thailand
4934,Serra do Cipó National Park,Brazil
4935,SEBIA,France
4936,Ratchadaphiseksomphot,Thailand
4937,RGJ,Thailand
4938,copy-editing service of Research and Development Office,Thailand
4939,Genome Technology Research Unit,Thailand
4940,Department of Drug Safety Sciences,Japan
4941,"Research, Development and Engineering Fund for National Nanotechnology",Thailand
4942,NSTDA university industry research collaboration,Thailand
4943,"Center for Petroleum, Petrochemical, and Advanced Materials",Thailand
4944,"Department of Packaging and Materials Technology, Faculty of Agro-Industry",Thailand
4945,Medical-Psychiatry Alliance,Canada
4946,Dittapol Muntham and Nattawut Unwanatham,Thailand
4947,IGenius Language Institute,Thailand
4948,Britannia Pharmaceuticals Ltd.,United Kingdom
4949,National Computer Center,Thailand
4950,"Collaborative Research in Engineering, Science and Technology",Malaysia
4951,"Multidisciplinary platform of Advanced Engineering, Electrical and Computer Systems Engineering Discipline",Thailand
4952,Khao Chong Botanical Garden,Thailand
4953,Faculty of Science and Industrial Technology,Thailand
4954,TRFCHE,Thailand
4955,Care Health and Development Trust,United Kingdom
4956,European Community Fund FEDER,Spain
4957,Thomas Wilson Sanitarium,United States
4958,Women's Institute,United Kingdom
4959,Entwicklung funktionaler Polymerfolien und Polymerbeschichtungen unter Verwendung von Lignin-Zwischenprodukten für innovative Anwendun-gen,Germany
4960,CEMB-PERDO,Thailand
4961,MESA RU,Thailand
4962,T.U.,Thailand
4963,Juba and Wau Teaching Hospital administrations,South Sudan
4964,Biowulf cluster,United States
4965,Center of Excellence for Medical Genomics,Thailand
4966,Radchadapisek Somphot Fund for,Thailand
4967,Research Network NANOTECH,Germany
4968,International Society for Affective Disorders,United Kingdom
4970,Pacific Biotech,Thailand
4971,Safe Abortion Action Fund,United Kingdom
4972,PICU,Thailand
4973,V & P Expanded Metal Co.Ltd,Thailand
4974,"ERT, Inc.",United States
4975,Equinox Fitness Clubs,United States
4976,eResearch Technologies Inc,United States
4977,Nakhonpathom Hospital,Thailand
4978,Rachadaphicseksompotch Endorsement Fund,Thailand
4979,Siam Pharmaceutical Co Ltd,Thailand
4980,Auspicious Occasion of Her Royal Highness Princess Maha Chakri Sirindhorn’s 5th cycle,Thailand
4981,Sustainable Agriculture Foundation,Thailand
4982,National Research University Development,Thailand
4983,European Allergy and Clinical Immunology Research Fellowship,Switzerland
4984,Center for Scientific and Technological Equipment,Thailand
4985,Institute of Science and Technology on Neuroimmunomodulation,China
4986,MU-MRC,Thailand
4987,EcoTopia Science Institute,Thailand
4988,Institute for Fermentation,Japan
4990,Radchadapisek Sompoch Endowment Fund,Thailand
4991,Boston Scientific Corporation paid speaker for Karl Storz Company,United States
4992,Sanam Chandra Palace campus,Thailand
4993,Schlumberger for Petrel,United States
4994,CU-ASEAN,Thailand
4995,"Department of Marine Science, Faculty of Science and Fisheries Technology",Thailand
4996,KMUTNBNRU,Thailand
4997,Information Technology Foundation,Thailand
4998,Center of Excellence in Liver Diseases,Thailand
4999,"Center of Excellence for Marine Biotechnology, Department of Marine Science",Thailand
5000,S&T postgraduate Education and Research Development Office,Thailand
5001,Hunstman Petrochemical Corp.,United States
5002,Development and Promotion of Science and Technology Talents,Thailand
5003,Center for the Promotion of Research and Academic Outreach,Thailand
5004,Thailand 2Northern Thai Research Group of Radiation Oncology,Thailand
5005,Thailand 9Hirosaki University Graduate School of Health Science,Japan
5006,Faculty of Allied Health Science,Thailand
5007,S&T Cooperation 01DP17024,Germany
5008,UPD,Philippines
5009,TRF Grant of New Scholar,Thailand
5010,Development and Promotion of Science and Technology Talent Projects,Thailand
5011,Cluster and Programme Management Office,Thailand
5012,Guangdong Province Introduced Innovative,China
5013,National Vaccine Institute Fund,Thailand
5014,Foundation for the Welfare,Thailand
5015,S&T Postgraduate Education Research Development Office,Thailand
5016,Center for Nano and Material Sciences,India
5017,Livestock Animal Hospital,Thailand
5018,Center of Excellence in Clinical Virol-ogy,Thailand
5019,AEI/FEDER/UE,Spain
5020,JWRI,Japan
5021,Janis Noonan of Gardiner-Caldwell Communications,United Kingdom
5022,Lymphoma Study Association,France
5023,PENTA-ID foundation,Italy
5024,Government Research Fund,Thailand
5025,Department of Clinical Tropical Medicine,Thailand
5026,Southeast Asia Biodiversity Research Institute,China
5027,Fish Infectious Diseases Research Unit,Thailand
5028,MarksMan Healthcare Communications,India
5029,OERC,Thailand
5030,Graduate Institute of Microbiology and Public Health,Taiwan
5031,Innovation and Technology Assistance Program,Thailand
5032,Kesetsart Veterinary Hospital,Thailand
5033,Suvarnachad Animal Hospital,Thailand
5034,HIVNAT,Thailand
5035,Netherland Australia Thailand Research Collaboration,Thailand
5036,Development and Promotion of Science and Technology Talents Scholarship,Thailand
5037,Graduate School of Education,United States
5038,Department of Wildlife,United States
5039,Habitat Foundation,Thailand
5041,AIAS-COFUND,Denmark
5042,Navadol Laosiripojana,Thailand
5043,Bioenergy and Catalysis Research Unit,Thailand
5044,MHESI,Thailand
5045,Advanced Materials Analysis Research Unit,Thailand
5046,International Research Integration,Thailand
5047,NRTC,Thailand
5048,RSPG,Thailand
5049,Fiber Resource Energy Cooperation Ltd.,Thailand
5050,School of Agricultural Resources,Thailand
5051,Francois Wallace Monahan Fellowship,United States
5052,"School of Environmental, Resources and Development",Thailand
5053,Frontier Laboratories and Quantum Analytics,United States
5054,Faculty of Public Health,Thailand
5055,Center of Excellence in Theoretical and Computational Science,Thailand
5056,department of health promotion,Thailand
5057,Sonti Khamsanga,Thailand
5058,Energy Conservation Fund,Thailand
5059,Nuttaya Sinsommanus,Thailand
5060,Papungkorn Kitcharoenkarnkul,Thailand
5061,Stop-Drink Network,Thailand
5062,Suwara Kaewnuy,Thailand
5063,Center of Excellence Research for Meliodosis,Thailand
5064,Research Excellence Center for Innovation and Health Product,Thailand
5065,Research institute for Health Sciences,Thailand
5066,NNTRC,Thailand
5067,CEAP,Brazil
5068,MWIT,Thailand
5069,Biofuel and Biochemical Industry Project,Thailand
5070,PBRI,Thailand
5071,DNP,Thailand
5072,NRU‐KU,Thailand
5073,B.N.C. Patcharapun Chaipun,Thailand
5074,Omics Sciences & Bioinformatics Center,Thailand
5075,"Ipsen, Merz, Auspex",France
5076,Janssen and Takeda,United States
5077,Osmotica Pharmceuticals and Dispersol Technologies,United States
5078,GSKKU,Thailand
5079,Harmonist Project,United States
5080,Science and Technology,Thailand
5081,petroleum industry,Thailand
5082,"Teppatana Paper Mill Co., Ltd.",Thailand
5083,UTM,Malaysia
5084,Plateau Technique de Microscopie Electronique,France
5085,UNESCO-IOC/WESTPAC,Thailand
5086,Development and Promotion of Science and Technology Talented Project,Thailand
5087,Animal Systematics Research Unit,Thailand
5088,Hearl-Lung Foundation,Sweden
5089,Jonas Söderquist Foundation for Virology and Immunology,Sweden
5090,Kyu Kanagawa,Japan
5091,SUTD-ZJU,Singapore
5092,Metallurgy and Materials Science Research Institute,Thailand
5093,V & P Expanded Metal,Thailand
5094,CINaM,France
5095,CEVA,France
5096,MSD Animal Health and Sanofi Pasteur,United States
5097,Medizin Akademie Organisationsteam,Germany
5098,National Research Facilities & Equipment Center,Thailand
5099,Union Link Co. Ltd,Thailand
5100,"Union Link Co., Ltd.",Thailand
5101,Thailand for,Thailand
5102,Department of Livestock and Fisheries,Laos
5103,LISBP,France
5104,INSU,France
5105,ST Postgraduate Education and Research Development Office,Thailand
5106,MOST 108-2320-B-037-037,Taiwan
5107,MOST 108-2918-I-037-001,Taiwan
5108,CUniverse research promotion project,Thailand
5109,Kidney Disease Research Centre,Thailand
5110,Glass Technology Excellence Center,Thailand
5111,Wachira’s farm,Thailand
5112,Medical Genomics Cluster,Thailand
5113,Concrete and Materials Testing Laboratory,Thailand
5114,Uriach Group,Spain
5115,CU-IIAC,Thailand
5116,Southeast Asian bee pollinators,Thailand
5117,Qian Sun and Bin Li at First,China
5118,Suparat Jaingam and Chutima Yaiyiam at Siriraj Hospital,Thailand
5119,Tuangsit Wataganara at Siriraj Hospital,Thailand
5120,Wing Cheong Leung and Fung King Lai at Kwong Wah Hospital,Hong Kong
5121,Yau Ma Tei,Hong Kong
5122,Global Environmental Research Account for National Institutes,Japan
5123,Pathogen Bank,Thailand
5124,"IPST , STAR",Thailand
5125,Ban Pao Health Promoting Hospital,Thailand
5126,Dental Pulp and Bone Cells Research Unit,Thailand
5127,ICU,Japan
5128,Martek Biosciences Inc,United States
5129,NIMA,United States
5130,NPRCT-CU,Thailand
5131,Focal Intelligence Co. Ltd,Thailand
5132,Giles-O'Malley Family Fund,United States
5133,Giles-O’Malley Family Fund,United States
5134,Capacity Building of KU,Thailand
5135,A.F. Goodrich Chemicals Co.,United States
5136,Computer Science and Information Technology Department,Thailand
5137,District Chief of Environment and Sanitation,Thailand
5138,Sugar Industries,Thailand
5139,Alongkot Fanka,Thailand
5140,Faculty of Medicine Research Fund,Thailand
5141,Chalong Latex Industry Co. Ltd,Thailand
5142,Natural Rubber Innovation Research Institute,Thailand
5143,LSDF,Germany
5144,Fisheries Administration,Cambodia
5145,Faculty of Allied Health Sciences Research Fund,Thailand
5146,Innovation-CU,Thailand
5147,Excellence Center for Critical Care Nephrology,Thailand
5148,Noonsomboon Health Center,Thailand
5149,Veterinary Pathogen Bank and Animal Virome and Diagnostic Development Research Group,Thailand
5150,CU Global Partnership Programme,Thailand
5151,Department of Medical Serv-ices,Thailand
5152,DMF Co. Ltd,Thailand
5153,Office of the Permanent Secretary,Thailand
5154,Program for Innovative Research Team in University,China
5155,Research and Researcher for Industry,Thailand
5156,UNESCO-Amba,France
5157,UNESCO-Amba/MVTS,France
5158,Center of Excellence for Emerging and Re-emerging Infectious Diseases in Animals,Thailand
5159,CAT-REAC,Thailand
5160,"Angiocrine Bioscience, Inc.",United States
5161,"RE Power Service Co.,Ltd.",Thailand
5162,"Biomass Center, Physical Resources Management",Thailand
5163,Foundation for Environmental Education for Sustainable Development,Thailand
5164,Center of Excellence for Pediatric Infectious Diseases and Vaccines,Thailand
5165,Aqua and Soil Environmental Laboratory,Thailand
5166,Center of Excellence for Marine Biotechnology,Thailand
5167,Center of Excellence for Emerging and Re‐emerging Infectious Diseases in Animals,Thailand
5168,Offshore Gas Transmission Pipeline,Thailand
5170,OrgEnergy Excellence Network,Germany
5171,Faculty of Science and Fisheries Technology,Thailand
5172,Mercosur,Argentina
5173,Well Maintenance Co. Ltd.,Thailand
5175,NTUCC,Singapore
5176,CNIM,France
5177,Nitra Nuengchamnong,Thailand
5178,Pajaree Songsungsan,Thailand
5179,Satanat Kitsiranuwat,Thailand
5180,Sapthip Co. Ltd,Thailand
5181,Sustainable Petroleum and Petrochemicals Research Unit,Thailand
5182,Astute Medical and Cytosorbents,United States
5183,Potrero Medical Inc.,United States
5184,Radiopharma,Thailand
5185,Satellite Health Care,United States
5186,bioMérieux and Ortho Clinical diagnostics,France
5187,Microbial Technology for Marine Pollution Treatment Research Unit,Thailand
5188,IIHR,United States
5189,KDIGO,United States
5190,Research Centre for Future Networks and Communications,United Arab Emirates
5191,Center of Excellence for Antibody Research,Thailand
5192,ZMNH AIMS,Germany
5193,"Department of Chemical Engineering, Faculty of Engineering and Industrial Technology",Thailand
5194,Art-Ong Pradatsundarasar,Thailand
5195,Wachara Sanguansombat,Thailand
5196,ZSM,Germany
5197,Early Nutrition eAcademy Southeast Asia,Thailand
5199,CU-Collar,Thailand
5200,Chula Soft Cadaver Surgical Training Center,Thailand
5201,Cognitive Science and Innovation Research Unit,Thailand
5202,MSMC,United States
5203,ANR-09-BLAN-0238-02-EVAH,France
5204,Drug and Health Products Innovation Promotion Center,Thailand
5205,Her Royal Highness Princess Maha Chakri Sirindhon,Thailand
5206,"Sugar Industries for Sustainable Management, Center of Excellence on Hazardous Substance Management",Thailand
5207,Biorefinery Cluster,Thailand
5208,Asean University Network/Southeast,Thailand
5209,Reservoir Simulation Laboratory of Department of Petroleum Engineering,Thailand
5210,Faculty of Dentistry Research Donation Fund,Thailand
5211,Faculty of Administration and Management,Thailand
5212,Center for Excellence in Clinical Virology,Thailand
5213,"Center for the Evaluation of Vaccination, Vaccine & Infectious Disease Institute",Belgium
5214,WALCOM 2020,Thailand
5215,King Bhumibhol Adulyadej,Thailand
5216,Development and Promotion of Science and Technology Talents project,Thailand
5217,Rat-chadaphisek-somphot Endowment Fund,Thailand
5218,Postgraduate Education and Research Development Office,Thailand
5219,Manit Klawtanong,Thailand
5220,Center of Excellence for Emerging and Reemerging Infectious Diseases in Animals,Thailand
5221,Research Chal-lenge Trust,New Zealand
5222,Circles of Knowledge Club,Thailand
5223,Genome Institute,Thailand
5224,Veterinary Research Fund,Thailand
5225,Biomedical Science Institute Industry Alignment Fund,Singapore
5226,Oculis research and development team,Switzerland
5227,Department of Molecular Tropical Medicine and Genetics,Thailand
5228,ICTM,Australia
5229,APCC,Thailand
5230,Kiat Ruxrungtham,Thailand
5232,Research Institute of Marques de Valdecilla Wenceslao-Lopez-Albo,Spain
5233,"Center of Excellence for Petroleum, Petrochemicals and Advanced Materials",Thailand
5234,"department of Materials Science and Engineering, Faculty of Engineering and Industrial Technology",Thailand
5235,"Procter and Gamble, Sasol",United States
5236,Center of Excellent for Petrochemical and Advanced Materials,Thailand
5237,Veterinary Clinical Stem Cells and Bioengineering Research Unit,Thailand
5238,PSU NR-IRI,Thailand
5239,PSU NR‐IRI,Thailand
5240,BF Biotech Inc.,Taiwan
5241,Liver Disease Prevention & Treatment Research Foundation,Taiwan
5242,ACCMS,Japan
5243,Ministry of Science’s Scholarship,Thailand
5244,Veterinary Clinical Stem Cell and Bioengineering Research Unit,Thailand
5245,"Labscan Co., Ltd.",Thailand
5246,"Seafresh Chitosan Lab Co., Ltd.",Thailand
5247,Apache Cement Company,Myanmar
5248,Environmental Conservation Forest Department,Thailand
5249,National Institute of Animal Health,Thailand
5250,Centre for Research and Development of Medical Diagnostic Laboratories,Thailand
5251,M Jackson Foundation,United States
5252,Philosophy and Social Sciences Application Research in Higher Education Institutions,China
5253,KRIS,Thailand
5254,Fish Biology and Aquatic Heath Assessment Laboratory,Thailand
5255,SUTDZJU,Singapore
5256,Pong Hospital,Thailand
5257,Greater Pharma,Thailand
5258,Nanostructures and Functional Assembly Laboratory,Thailand
5259,Research Institute of Health Science,Thailand
5261,RISC,Thailand
5262,"Program Unit for Human Resources & Institutional Development, Research and Innovation – CU",Thailand
5263,Overseas Research Experience Scholarship for Graduate Student,Thailand
5264,ICMM-CSIS,United States
5265,RSF-DST,India
5266,Industrial Production and Testing Service Center,Thailand
5267,Sustainable Infrastructure Research and Development Center,Thailand
5269,SRS,United States
5270,Halal Science Center,Thailand
5271,Knowledge and Innovation Research Laboratory,Thailand
5272,Osteoarthritis and Musculo skeleton Research Unit,Thailand
5273,"MG Cordy Gold Co., Ltd.",Thailand
5274,Scientific and Technological Instruments Center,Thailand
5275,Excellent center in Regenerative Dentistry,Thailand
5276,Genomics and Precision Dentistry Research Unit,Thailand
5277,Pacific Rim Green Innovation Hub Project,Thailand
5278,Ratchdaphiseksomphot Endowment fund and Rachadapisek Sompoch Project,Thailand
5279,S S Membranes Co. Ltd.,Thailand
5280,"S S Membranes Co., Ltd.",Thailand
5281,EE-TFRC,Thailand
5282,Glass Bridge Company Limited,Thailand
5283,THAILAND,Thailand
5284,Faculty of Food Industry,Thailand
5285,Advanced Institute of Manufacturing with High-tech Innovations,Taiwan
5286,RCPT,Thailand
5287,"Joint Research Collaboration between Home Dot Tech Company, Ltd.",Thailand
5288,UICentre for Drug Discovery,United States
5289,Khoon Poom Foundation,Thailand
5290,The Project in Her Royal Highness Princess Ubonratana Rajakanya Siriwatana Bhanawadee,Thailand
5291,Institute of Animal for Scientific Purposes Development,Thailand
5292,Mangrove Forest Conservation Center,Thailand
5293,Mangrove Forest Development Station 7,Thailand
5294,Scientific and Technological Research Equipment Centre,Thailand
5295,Thainam Plastic Company,Thailand
5296,Centre of Excellence on Hazardous Substance Management,Thailand
5297,INHS,United States
5298,UNESCO Japanese Funds-in-Trusts Mubadala Petroleum,United Arab Emirates
5299,Hong Kong Association for the Study of Liver Diseases,Hong Kong
5300,Hong Kong College of Physicians,Hong Kong
5301,National Registry of Diseases Office,Singapore
5302,"Center of Excellence on Agricultural Biotechnology, Science and Technology Postgraduate Education and Research Development Office",Thailand
5303,Innovation Institute,United States
5304,Cell-based Drug and Health Products Development Research Unit,Thailand
5305,Abbott Diagnostics and Beckmann,United States
5306,Orbus Neich and Biotronik,Germany
5307,CUSRI,Thailand
5308,MHPM Co. Ltd.,Thailand
5309,Dirección General de Cómputo y de Tecnologías de Información y Comunicación,Mexico
5310,Posgrado en Ciencias Biológicas,Mexico
5311,Department of Livestock and Development,Thailand
5312,"Program Management Unit for Human Resources & Institutional Development, Research and Innovation - CU",Thailand
5313,CREID,United Kingdom
5314,CAT-REACT,Thailand
5316,Dr Surinda Kawichai,Thailand
5317,DAIDS,United States
5318,Narukjaporn Thammajaruk,Thailand
5319,TU-McMa,Thailand
5320,ERC PUT,Belgium
5321,Center of Excellence in Pediatric Infectious Diseases and Vac-cines,Thailand
5322,General Research Fund,Hong Kong
5323,Kanchana Chansung,Thailand
5324,MAE,Italy
5325,Centre of Excellence on Petrochemical and Materials Technology,Thailand
5326,"Program Management Unit for Human Resources and Institutional Development, Research and Innovation—CU",Thailand
5327,"Ministry ofEducation, Culture, Sports",Japan
5328,Research Center of Excellence in Innovation of Essential Oil,Thailand
5329,"Program Management Unit for Human Resources & Institutional Development, Research and Innovation",Thailand
5330,Dairy Herd Health and Food Safety Funds,United States
5331,ACEA Pharma,Thailand
5332,Alpha Biopharma Co. Ltd.,China
5333,Amoy Diagnostics Co. Ltd.,China
5334,Aurora Tele-Oncology Ltd.,Thailand
5335,Hengrui Therapeutics Inc.,United States
5336,Hutchison Chi-Med,United Kingdom
5337,SFJ Pharmaceuticals,United States
5338,Shanghai BeBirds Translation & Consulting Co. Ltd.,China
5339,"Chalong Latex Industry Co., Ltd.",Thailand
5340,Interdisciplinary Graduate School of Energy Systems,Thailand
5341,Panel Plus Co. Ltd.,Thailand
5342,AMON,United States
5343,HAWC,United States
5344,IceCube,United States
5345,Institute for Gravitation,United States
5346,"Robolingo Co., Ltd.",Thailand
5347,Technology and Innovation-Based Enterprise Development Fund,Thailand
5348,Ministry of Science and Technology Funding information,China
5349,TESA,Thailand
5350,Department of Educational Technology and Communications,Thailand
5351,Educational Invention and Innovation Research Unit,Thailand
5352,Silicon Craft Technology Co. Ltd,Thailand
5353,Program Management Unit for Human Resources and Institutional Development Research and Innovation-CU,Thailand
5354,NRF-NEP,South Korea
5355,Natural Products for Neuroprotection and Anti-ageing Research Unit,Thailand
5356,Binatang Research Centre,Papua New Guinea
5357,Nanocatalysis and Molecular Simulation Research Group,Thailand
5358,Cooperative Research Project of the Research Center for Biomedical Engineering,Japan
5359,Global Probiotic Council,Japan
5360,"National Science, Research and Innovation Fund",Thailand
5361,"Trade, Development and the Environment Hub project",United Kingdom
5363,Ministry of Pu?lic Health,Thailand
5364,National Institutes for the Humanities,Japan
5365,"Graduate School, State Key Laboratory of Estuarine and Coastal Research",China
5366,Her Royal Highness Maha Chakri Sirindhorn,Thailand
5367,Faculty of Engineering Research Fund,Thailand
5368,Kinji Ohno and Akio Masuda,Japan
5369,BioMedica Nutraceuticals,Australia
5370,Centre for Social and Sustainable Innovation,Canada
5371,Centus Biotherapeutics,United Kingdom
5372,Faculty of Technology and Envi-ronment,Thailand
5373,Program Management Unit for Human Resources and Institutional Development Research and Innovation—CU,Thailand
